mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1384068489074707,0.007850801293878624,0.0,0.0,0.1,l1,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.12386369705200195,0.01022042832887378,0.0,0.0,0.1,l1,5000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
0.12844033241271974,0.007970902022101168,0.0,0.0,0.1,l1,,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.16222267150878905,0.013003583957197157,0.03278083801269531,0.0014731081090131014,0.1,l2,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.9545004945598418,0.9531816683151995,0.9508737223870755,0.9508737223870755,0.9508575197889182,0.9520574254876222,0.0015148985558950767,7,0.9548264776193224,0.955733245404336,0.9551562113593274,0.9570521803643558,0.9566435872073854,0.9558823403909453,0.0008499836653746834
0.1814168930053711,0.027331502543330617,0.028048181533813478,0.006264125456514758,0.1,l2,5000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 5000}",0.9512034289482361,0.9492251895812727,0.9475766567754699,0.9485657764589516,0.9462401055408971,0.9485622314609655,0.001660064845263556,8,0.9540845767043112,0.9544967438793175,0.9544143104443162,0.955733245404336,0.9550774810418727,0.9547612714948308,0.0005818925034504162
0.21118578910827637,0.0924076335220845,0.03153109550476074,0.0005391206399876466,0.1,l2,,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': None}",0.9512034289482361,0.9492251895812727,0.9475766567754699,0.9485657764589516,0.9462401055408971,0.9485622314609655,0.001660064845263556,8,0.9540845767043112,0.9544967438793175,0.9544143104443162,0.955733245404336,0.9550774810418727,0.9547612714948308,0.0005818925034504162
0.12643613815307617,0.0026040893984399637,0.0,0.0,1,l1,1000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.13023252487182618,0.008761726148853155,0.0,0.0,1,l1,5000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
0.15119290351867676,0.02497629687126834,0.0,0.0,1,l1,,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.1985529899597168,0.03181420836255766,0.03777403831481933,0.00837398200005945,1,l2,1000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.9653808110781404,0.9676887570062644,0.9706561160567095,0.9660402242004615,0.9686675461741425,0.9676866909031437,0.001887193760293622,4,0.9758470035446377,0.9753524029346303,0.9758470035446377,0.9760118704146402,0.9758489943949885,0.9757814549667069,0.00022375510335429654
0.19715490341186523,0.027757727562589776,0.034258794784545896,0.0024679338501298145,1,l2,5000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 5000}",0.9653808110781404,0.9670293438839432,0.9686778766897461,0.9663699307616221,0.9673482849604221,0.9669612494747748,0.0010907507191811722,5,0.9777429725496661,0.9772483719396587,0.9775781056796636,0.9772483719396587,0.9781569403231124,0.9775949524863519,0.0003400765306216064
0.1843264102935791,0.01169064245860243,0.03165431022644043,0.0014409021693979423,1,l2,,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': None}",0.9653808110781404,0.9670293438839432,0.9686778766897461,0.9663699307616221,0.9673482849604221,0.9669612494747748,0.0010907507191811722,5,0.9777429725496661,0.9772483719396587,0.9775781056796636,0.9772483719396587,0.9781569403231124,0.9775949524863519,0.0003400765306216064
0.15971360206604004,0.020628094053125958,0.0,0.0,10,l1,1000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.12454090118408204,0.001253955580890461,0.0,0.0,10,l1,5000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
0.12752852439880372,0.005740438791263773,0.0,0.0,10,l1,,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.23502521514892577,0.017814473483773772,0.031855297088623044,0.0007474946105598242,10,l2,1000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.965710517639301,0.9683481701285855,0.9696669963732278,0.9666996373227827,0.9689973614775725,0.9678845365882939,0.0014670271189570414,3,0.9855741488747836,0.9842552139147638,0.9851619816997774,0.9844200807847663,0.9864820309924167,0.9851786912533015,0.0008103901101183387
0.2568924903869629,0.012441653471375732,0.03205108642578125,0.0010513335358206806,10,l2,5000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 5000}",0.9690075832509067,0.9693372898120672,0.9709858226178701,0.9693372898120672,0.9696569920844327,0.9696649955154688,0.0006916098945253329,1,0.9909323221498639,0.9893660868848405,0.9901904212348529,0.9901079877998517,0.9910979228486647,0.9903389481836149,0.000624499362055589
0.2615255355834961,0.018741963007025672,0.03383307456970215,0.004022011606721675,10,l2,,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': None}",0.9690075832509067,0.9693372898120672,0.9709858226178701,0.9693372898120672,0.9696569920844327,0.9696649955154688,0.0006916098945253329,1,0.9909323221498639,0.9893660868848405,0.9901904212348529,0.9901079877998517,0.9910979228486647,0.9903389481836149,0.000624499362055589
